aphiaID,scientificName,verbatimScientificName,taxonID,valid_authority,taxonRankID,taxonRank,parentNameUsageID,kingdom,phylum,class,order,family,genus,species,acceptedNameUsageID,acceptedNameUsage,majorgroup,taxon,FG_latest,References,Pata&Hunt_traitValue,filter_or_not,campbell_diet,same_or_not,Global_totalAbundance,Global_relativeAbundance,NAtlantic_totalAbundance,NAtlantic_relativeAbundance,AusCPR_totalAbundance,AusCPR_relativeAbundance,NPacific_totalAbundance,NPacific_relativeAbundance,SOCPR_totalAbundance,SOCPR_relativeAbundance
110707,Thysanoessa gregaria,Thysanoessa gregaria,3050,"G.O. Sars, 1883",220,Species,110679,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa gregaria,urn:lsid:marinespecies.org:taxname:110707,"Thysanoessa gregaria G.O. Sars, 1883",Euphausiid,Thysanoessa gregaria,omnivore,[P],omnivore,0,NA,NA,24209,5.28023203323049e-6,NA,NA,1571,0.001350964,NA,NA,22638,9.308145503114764e-4
110679,Thysanoessa,Thysanoessa,3049,"Brandt, 1851",180,Genus,110671,Animalia,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,NA,urn:lsid:marinespecies.org:taxname:110679,"Thysanoessa Brandt, 1851",Euphausiid,Thysanoessa spp.,omnivore,Derived at genus level,not determined,0,NA,NA,8193,1.786977613625404e-6,NA,NA,2493,0.002143828,NA,NA,5700,2.3436889021889807e-4
101812,Vibilia,Vibilia,254,"H. Milne Edwards, 1830",180,Genus,101426,Animalia,Arthropoda,Malacostraca,Amphipoda,Vibiliidae,Vibilia,NA,urn:lsid:marinespecies.org:taxname:101812,"Vibilia H. Milne Edwards, 1830",Amphipod,Vibilia spp.,carnivore,[1] Hyperiid,parasite,0,NA,NA,601,1.310842848515645e-7,NA,NA,22,1.8918660937178865e-5,NA,NA,579,2.38069451643407e-5
101812,Vibilia,Vibilia,254,"H. Milne Edwards, 1830",180,Genus,101426,Animalia,Arthropoda,Malacostraca,Amphipoda,Vibiliidae,Vibilia,NA,urn:lsid:marinespecies.org:taxname:101812,"Vibilia H. Milne Edwards, 1830",Amphipod,Vibilia spp.,carnivore,[1] Hyperiid,commensal,0,NA,NA,601,1.310842848515645e-7,NA,NA,22,1.8918660937178865e-5,NA,NA,579,2.38069451643407e-5
325408,Vibilia antarctica,Viblia antarctica,255,"Stebbing, 1888",220,Species,101812,Animalia,Arthropoda,Malacostraca,Amphipoda,Vibiliidae,Vibilia,Vibilia antarctica,urn:lsid:marinespecies.org:taxname:325408,"Vibilia antarctica Stebbing, 1888",Amphipod,Vibilia antarctica,carnivore,[1] Hyperiid,not determined,0,NA,NA,424,9.24787633561786e-8,NA,NA,19,1.6338843536654476e-5,NA,NA,405,1.6652526410290127e-5
236632,Vibilia armata,Vibilia armata,256,"Bovallius, 1887",220,Species,101812,Animalia,Arthropoda,Malacostraca,Amphipoda,Vibiliidae,Vibilia,Vibilia armata,urn:lsid:marinespecies.org:taxname:236632,"Vibilia armata Bovallius, 1887",Amphipod,Vibilia armata,carnivore,[1] Hyperiid,parasite,0,NA,NA,45,9.814963092047258e-9,NA,NA,NA,NA,NA,NA,45,1.8502807122544584e-6
119369,Kuhnia,NA,NA,NA,NA,NA,NA,Animalia,Platyhelminthes,Monogenea,Mazocraeidea,Mazocraaeidae,Kuhnia,NA,urn:lsid:marinespecies.org:taxname:119369,"Kuhnia Sproston, 1945",NA,Kuhnia spp. cyst,NA,,not determined,0,NA,NA,12,2.617323491212602e-9,NA,NA,12,1.0319269602097565e-5,NA,NA,NA,NA
148912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Thalassiosira spp.,NA,,not determined,0,NA,NA,937980000,0.20458309069063305,NA,NA,NA,NA,937980000,0.23115723885628092,NA,NA
370367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Chaetoceros(Phaeoceros) spp.,NA,,not determined,0,NA,NA,836715000,0.1824961520791627,NA,NA,NA,NA,836715000,0.20620133596626056,NA,NA
370366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Chaetoceros(Hyalochaete) spp.,NA,,not determined,0,NA,NA,361845000,0.078922118,NA,NA,NA,NA,361845000,0.08917364,NA,NA
149093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Thalassionema nitzschioides,NA,,not determined,0,NA,NA,290670000,0.063398118,NA,NA,NA,NA,290670000,0.071633163,NA,NA
196813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Neodenticula seminae,NA,,not determined,0,NA,NA,269160000,0.058706566,NA,NA,NA,NA,269160000,0.066332206,NA,NA
157083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Thalassiothrix longissima,NA,,not determined,0,NA,NA,170880000,0.037270687,NA,NA,NA,NA,170880000,0.042111931,NA,NA
149071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Rhizosolenia hebetata semispina,NA,,not determined,0,NA,NA,144870000,0.031597638,NA,NA,NA,NA,144870000,0.035701986,NA,NA
179596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Corethron hystrix,NA,,not determined,0,NA,NA,101700000,0.022181817,NA,NA,NA,NA,101700000,0.025063105,NA,NA
149152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Pseudo-nitzschia seriata complex,NA,,not determined,0,NA,NA,101685000,0.022178545,NA,NA,NA,NA,101685000,0.025059408,NA,NA
149074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Skeletonema costatum,NA,,not determined,0,NA,NA,96435000,0.021033466,NA,NA,NA,NA,96435000,0.02376559,NA,NA
148917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Coscinodiscus spp. (Unidentified),NA,,not determined,0,NA,NA,82140000,0.017915579,NA,NA,NA,NA,82140000,0.020242708,NA,NA
149168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Proboscia alata,NA,,not determined,0,NA,NA,69540000,0.01516739,NA,NA,NA,NA,69540000,0.017137545,NA,NA
341501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Proboscia inermis,NA,,not determined,0,NA,NA,44925000,0.009798605,NA,NA,NA,NA,44925000,0.011071386,NA,NA
1806,Echinodermata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,urn:lsid:marinespecies.org:taxname:1806,Echinodermata,NA,Echinoderm larvae,NA,,not determined,0,NA,NA,43262651,0.009436029,42927228,0.097986219,1226,0.001054285,333798,8.22616942959859e-5,399,1.6405822315322866e-5
149629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Rhizosolenia styliformis,NA,,not determined,0,NA,NA,40785000,0.008895628,NA,NA,NA,NA,40785000,0.010051118,NA,NA
149151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diatom,Nitzschia/Pseudo-nitzschia spp. (unidentified),NA,,not determined,0,NA,NA,39375000,0.008588093,NA,NA,NA,NA,39375000,0.009703636,NA,NA
109951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dinoflagellate,Ceratium fusus,NA,,not determined,0,NA,NA,37890000,0.008264199,NA,NA,NA,NA,37890000,0.00933767,NA,NA
